,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,max_total_run_x,crr,rrr,results,total_run_x
632,Mumbai Indians,Punjab Kings,Chandigarh,205,118,2,,30.0,10.42,1,215.0
633,Mumbai Indians,Punjab Kings,Chandigarh,204,117,1,,22.0,10.46,1,215.0
634,Mumbai Indians,Punjab Kings,Chandigarh,203,116,0,,18.0,10.5,1,215.0
635,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,163,119,3,,54.0,8.22,0,172.0
636,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,163,119,2,,54.0,8.22,0,172.0
637,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,158,118,1,,42.0,8.03,0,172.0
638,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,157,117,0,,30.0,8.05,0,172.0
639,Gujarat Titans,Rajasthan Royals,Jaipur,119,125,9,,-0.0,5.71,1,119.0
640,Gujarat Titans,Rajasthan Royals,Jaipur,119,124,8,,-0.0,5.76,1,119.0
641,Gujarat Titans,Rajasthan Royals,Jaipur,109,119,3,,60.0,5.5,1,119.0
642,Gujarat Titans,Rajasthan Royals,Jaipur,109,118,2,,30.0,5.54,1,119.0
643,Gujarat Titans,Rajasthan Royals,Jaipur,109,117,1,,20.0,5.59,1,119.0
644,Gujarat Titans,Rajasthan Royals,Jaipur,109,116,0,,15.0,5.64,1,119.0
645,Chennai Super Kings,Mumbai Indians,Chennai,140,125,9,,-0.0,6.72,1,140.0
646,Chennai Super Kings,Mumbai Indians,Chennai,140,124,8,,-0.0,6.77,1,140.0
647,Chennai Super Kings,Mumbai Indians,Chennai,134,119,3,,36.0,6.76,1,140.0
648,Chennai Super Kings,Mumbai Indians,Chennai,130,118,2,,30.0,6.61,1,140.0
649,Chennai Super Kings,Mumbai Indians,Chennai,129,119,1,,66.0,6.5,1,140.0
650,Chennai Super Kings,Mumbai Indians,Chennai,128,118,0,,36.0,6.51,1,140.0
651,Delhi Capitals,Royal Challengers Bangalore,Delhi,171,119,3,,66.0,8.62,1,182.0
652,Delhi Capitals,Royal Challengers Bangalore,Delhi,171,118,2,,33.0,8.69,1,182.0
653,Delhi Capitals,Royal Challengers Bangalore,Delhi,170,117,1,,24.0,8.72,1,182.0
654,Delhi Capitals,Royal Challengers Bangalore,Delhi,170,116,0,,18.0,8.79,1,182.0
655,Lucknow Super Giants,Gujarat Titans,Ahmedabad,224,119,3,,24.0,11.29,0,228.0
656,Lucknow Super Giants,Gujarat Titans,Ahmedabad,224,119,2,,24.0,11.29,0,228.0
657,Lucknow Super Giants,Gujarat Titans,Ahmedabad,220,118,1,,24.0,11.19,0,228.0
658,Lucknow Super Giants,Gujarat Titans,Ahmedabad,216,117,0,,24.0,11.08,0,228.0
659,Sunrisers Hyderabad,Rajasthan Royals,Jaipur,215,125,9,,-0.0,10.32,1,215.0
660,Sunrisers Hyderabad,Rajasthan Royals,Jaipur,215,124,8,,-0.0,10.4,1,215.0
661,Sunrisers Hyderabad,Rajasthan Royals,Jaipur,215,123,7,,-0.0,10.49,1,215.0
662,Sunrisers Hyderabad,Rajasthan Royals,Jaipur,210,119,3,,30.0,10.59,1,215.0
663,Sunrisers Hyderabad,Rajasthan Royals,Jaipur,210,118,2,,15.0,10.68,1,215.0
664,Sunrisers Hyderabad,Rajasthan Royals,Jaipur,210,117,1,,10.0,10.77,1,215.0
665,Sunrisers Hyderabad,Rajasthan Royals,Jaipur,204,116,0,,16.5,10.55,1,215.0
666,Kolkata Knight Riders,Punjab Kings,Kolkata,171,119,3,,54.0,8.62,1,180.0
667,Kolkata Knight Riders,Punjab Kings,Kolkata,171,118,2,,27.0,8.69,1,180.0
668,Kolkata Knight Riders,Punjab Kings,Kolkata,171,117,1,,18.0,8.77,1,180.0
669,Kolkata Knight Riders,Punjab Kings,Kolkata,170,116,0,,15.0,8.79,1,180.0
670,Mumbai Indians,Royal Challengers Bangalore,Mumbai,192,119,3,,48.0,9.68,1,200.0
671,Mumbai Indians,Royal Challengers Bangalore,Mumbai,191,118,2,,27.0,9.71,1,200.0
672,Mumbai Indians,Royal Challengers Bangalore,Mumbai,190,117,1,,20.0,9.74,1,200.0
673,Mumbai Indians,Royal Challengers Bangalore,Mumbai,189,116,0,,16.5,9.78,1,200.0
674,Delhi Capitals,Chennai Super Kings,Chennai,168,125,9,,-0.0,8.06,0,168.0
675,Delhi Capitals,Chennai Super Kings,Chennai,168,124,8,,-0.0,8.13,0,168.0
676,Delhi Capitals,Chennai Super Kings,Chennai,166,119,3,,12.0,8.37,0,168.0
677,Delhi Capitals,Chennai Super Kings,Chennai,166,118,2,,6.0,8.44,0,168.0
678,Delhi Capitals,Chennai Super Kings,Chennai,166,117,1,,4.0,8.51,0,168.0
679,Delhi Capitals,Chennai Super Kings,Chennai,162,116,0,,9.0,8.38,0,168.0
680,Rajasthan Royals,Kolkata Knight Riders,Kolkata,123,119,3,,162.0,6.2,1,150.0
681,Rajasthan Royals,Kolkata Knight Riders,Kolkata,122,118,2,,84.0,6.2,1,150.0
682,Rajasthan Royals,Kolkata Knight Riders,Kolkata,121,117,1,,58.0,6.21,1,150.0
683,Rajasthan Royals,Kolkata Knight Riders,Kolkata,121,116,0,,43.5,6.26,1,150.0
684,Gujarat Titans,Mumbai Indians,Mumbai,219,125,9,,-0.0,10.51,0,219.0
685,Gujarat Titans,Mumbai Indians,Mumbai,215,119,3,,24.0,10.84,0,219.0
686,Gujarat Titans,Mumbai Indians,Mumbai,213,118,2,,18.0,10.83,0,219.0
687,Gujarat Titans,Mumbai Indians,Mumbai,213,117,1,,12.0,10.92,0,219.0
688,Gujarat Titans,Mumbai Indians,Mumbai,212,116,0,,10.5,10.97,0,219.0
689,Lucknow Super Giants,Sunrisers Hyderabad,Hyderabad,183,125,9,,-0.0,8.78,1,183.0
690,Lucknow Super Giants,Sunrisers Hyderabad,Hyderabad,180,119,3,,18.0,9.08,1,183.0
691,Lucknow Super Giants,Sunrisers Hyderabad,Hyderabad,179,118,2,,12.0,9.1,1,183.0
692,Lucknow Super Giants,Sunrisers Hyderabad,Hyderabad,179,117,1,,8.0,9.18,1,183.0
693,Lucknow Super Giants,Sunrisers Hyderabad,Hyderabad,179,116,0,,6.0,9.26,1,183.0
694,Delhi Capitals,Punjab Kings,Delhi,157,119,3,,66.0,7.92,0,168.0
695,Delhi Capitals,Punjab Kings,Delhi,157,118,2,,33.0,7.98,0,168.0
696,Delhi Capitals,Punjab Kings,Delhi,153,117,1,,30.0,7.85,0,168.0
697,Delhi Capitals,Punjab Kings,Delhi,152,116,0,,24.0,7.86,0,168.0
698,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,172,125,9,,-0.0,8.26,0,172.0
699,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,167,119,3,,30.0,8.42,0,172.0
700,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,167,119,2,,30.0,8.42,0,172.0
701,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,166,118,1,,18.0,8.44,0,172.0
702,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,166,117,0,,12.0,8.51,0,172.0
703,Kolkata Knight Riders,Chennai Super Kings,Chennai,141,119,3,,24.0,7.11,1,145.0
704,Kolkata Knight Riders,Chennai Super Kings,Chennai,140,119,2,,30.0,7.06,1,145.0
705,Kolkata Knight Riders,Chennai Super Kings,Chennai,138,118,1,,21.0,7.02,1,145.0
706,Kolkata Knight Riders,Chennai Super Kings,Chennai,134,117,0,,22.0,6.87,1,145.0
707,Sunrisers Hyderabad,Gujarat Titans,Ahmedabad,189,125,9,,-0.0,9.07,0,189.0
708,Sunrisers Hyderabad,Gujarat Titans,Ahmedabad,179,119,3,,60.0,9.03,0,189.0
709,Sunrisers Hyderabad,Gujarat Titans,Ahmedabad,179,118,2,,30.0,9.1,0,189.0
710,Sunrisers Hyderabad,Gujarat Titans,Ahmedabad,178,117,1,,22.0,9.13,0,189.0
711,Sunrisers Hyderabad,Gujarat Titans,Ahmedabad,178,116,0,,16.5,9.21,0,189.0
712,Mumbai Indians,Lucknow Super Giants,Lucknow,178,125,9,,-0.0,8.54,0,178.0
713,Mumbai Indians,Lucknow Super Giants,Lucknow,171,119,3,,42.0,8.62,0,178.0
